,1,2,3,4,5,6,7,8,9,10,11,12
1982,,,,,,16.39,15.88,14.26,13.53,12.58,11.88,11.31
1983,11.58,11.19,11.19,10.9,10.86,11.29,11.65,12.01,11.66,11.54,11.62,11.72
1984,11.7,12.3,13,13.31,13.9,13.86,13.44,13.01,12.68,12.32,11.72,11.52
1985,11.17,12.17,11.9,11.38,10.61,10.74,10.73,10.53,10.75,10.47,9.88,9.63
1986,10.18,9.69,9.2,8.87,9.08,8.91,8.98,8.81,9.09,9.12,8.79,8.74
1987,8.26,8.39,8.24,9.4,9.52,9.31,9.9,10.11,10.9,9.8,10.1,10.02
1988,9.31,9.13,9.61,9.84,9.86,9.7,9.96,10.4,10.2,9.77,10.05,10.17
1989,10.01,10.42,10.58,10.19,9.71,9.4,9.31,9.51,9.74,9.38,9.73,9.56
1990,9.93,10.64,10.88,11.51,10.86,10.64,10.65,10.72,11.42,11.02,10.54,10.34
1991,10.05,9.59,9.55,9.59,9.59,10.09,9.9,9.67,9.26,8.74,8.67,8.32
1992,8.28,8.34,8.67,8.86,8.49,8.15,7.43,7.38,7.79,7.51,7.88,7.86
1993,7.98,7.45,7.52,7.54,7.49,7.34,7.18,6.81,6.99,6.79,6.92,6.57
1994,6.39,6.94,7.95,7.95,8.41,9.11,9.36,8.74,8.88,9.14,9.16,9.07
1995,9.34,8.76,8.57,8.31,7.88,7.81,8.27,8,7.89,7.86,7.19,7.11
1996,7.01,7.53,7.64,7.76,7.72,7.77,7.62,7.34,7.16,6.47,6.05,6.37
1997,6.65,6.38,6.59,6.68,6.65,6.14,5.8,6.06,5.7,5.49,5.56,5.61
1998,5.41,5.47,5.34,5.49,5.34,5.35,5.47,5.67,4.95,5,5.18,4.89
1999,4.89,5.26,5.05,5.14,5.42,5.46,5.62,5.55,5.77,6.26,6.02,6.18
2000,6.44,6.19,6.03,6.1,6,5.93,5.86,5.77,5.75,5.72,5.54,5.35
2001,5.39,5.36,5.41,5.66,5.96,5.73,5.76,5.36,5.32,4.86,5.36,5.44
2002,5.42,5.31,5.79,5.64,5.49,5.37,5.23,5.14,4.92,5.16,5.18,4.88
2003,5.02,4.93,5.13,4.9,4.5,4.37,4.78,4.96,4.64,4.85,4.79,4.66
2004,4.61,4.41,4.33,4.71,4.77,4.83,4.82,4.68,4.58,4.52,4.44,4.39
2005,4.21,4.28,4.39,4.14,4.02,3.81,3.91,3.78,3.94,4.16,4.06,3.93
2006,4.11,4.1,4.23,4.52,4.45,4.63,4.38,4.12,3.98,4.17,3.94,4.05
2007,4.17,4.03,4.1,4.15,4.48,4.62,4.58,4.38,4.41,4.31,4.07,4.09
2008,3.88,3.81,3.46,3.58,3.68,3.71,3.81,3.52,3.66,3.74,3.36,2.69
2009,2.97,2.95,2.96,3.08,3.57,3.45,3.53,3.39,3.31,3.45,3.25,3.6
2010,3.35,3.45,3.56,3.66,3.25,3.08,3.22,2.83,2.74,2.89,3.19,3.16
2011,3.31,3.32,3.29,3.27,3.08,3.09,2.88,2.49,2.19,2.38,2.15,1.96
2012,2.04,1.98,2.12,2.1,1.79,1.72,1.6,1.8,1.75,1.78,1.72,1.82
2013,1.99,1.86,1.76,1.72,2.07,2.5,2.45,2.63,2.57,2.42,2.54,2.72
2014,2.36,2.44,2.45,2.4,2.22,2.26,2.16,2,2.2,2.05,1.93,1.79
2015,1.35,1.32,1.33,1.59,1.67,1.77,1.52,1.45,1.45,1.47,1.59,1.4
2016,1.24,1.15,1.22,1.5,1.38,1.12,1.07,1.02,0.98,1.15,1.58,1.73
2017,1.82,1.71,1.59,1.48,1.41,1.61,1.96,1.84,2.13,2.04,1.88,1.98
